test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,location_updates,00:01:00,global information,2400,2400,0,40,2.57,3.76,9.97,3.54,4.07,5.32,6.45,0.79,0.712,0.714,0.715,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,concurrent_trip_creation,00:01:00,global information,40,40,0,0.7,14.63,18.76,27.72,18.66,20.59,25.14,27.73,3.04,1.313,1.317,1.32,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
