test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,location_updates,00:03:00,global information,360000,359985,15,1999.9,4.21,1300.7,10882.14,887.3,1394.69,4579.33,7626.75,1527.92,0.714,0.721,0.722,253.6,0.1,6937.35,8524.8,10884.74,6959.1,10887.17,10887.17,10887.17,1925.82,0.638,0.639,0.64,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,concurrent_trip_creation,00:03:00,global information,40,3,37,0,643.07,992.2,1453.21,880.64,880.64,1454.08,1454.08,340.31,1.325,1.326,1.327,0.0,0.2,31.88,2516.93,10344.41,1364.99,2947.07,10158.08,10346.5,2974.83,0.715,0.717,0.718,0.0
